t,ref,optimized_ref,s_bounds_lower,s_bounds_upper,velocity
0,0,1.69075e-06,0,59.5614,7.00001
0.2,1,1.40267,0,59.5614,7.04005
0.4,2,2.82136,0,59.5614,7.16015
0.6,3,4.26871,0,59.5614,7.30985
0.8,4,5.73928,0,59.5614,7.36914
1,5,7.2057,0,59.5614,7.26842
1.2,6,8.63598,0,59.5614,7.00768
1.4,7,9.99811,10,59.5614,6.58693
1.6,8,11.2659,10,59.5614,6.09322
1.8,9,12.4382,10,59.5614,5.64144
2,10,13.5269,10,59.5614,5.25689
2.2,11,14.5451,0,59.5614,4.93428
2.4,12,15.5044,0,59.5614,4.66807
2.6,13,16.4157,0,59.5614,4.45273
2.8,14,17.2885,0,59.5614,4.28284
3,15,18.1315,0,59.5614,4.15316
3.2,16,18.9522,0,59.5614,4.05867
3.4,17,19.757,0,59.5614,3.99458
3.6,18,20.5517,0,59.5614,3.95643
3.8,19,21.341,0,59.5614,3.94005
4,20,22.1289,0,59.5614,3.9416
4.2,21,22.9186,0,59.5614,3.95758
4.4,22,23.7127,0,59.5614,3.98482
4.6,23,24.5131,0,59.5614,4.02045
4.8,24,25.3213,0,59.5614,4.06195
5,25,26.1381,0,59.5614,4.1071
5.2,26,26.9642,0,59.5614,4.15396
5.4,27,27.7997,0,59.5614,4.20088
5.6,28,28.6445,0,59.5614,4.24647
5.8,29,29.4982,0,59.5614,4.2896
6,30,30.3601,0,59.5614,4.32936
6.2,31,31.2296,0,59.5614,4.36509
6.4,32,32.1058,0,59.5614,4.39632
6.6,33,32.9878,0,59.5614,4.42278
6.8,34,33.8746,0,59.5614,4.44441
7,35,34.7653,0,59.5614,4.46129
7.2,36,35.6589,0,50,4.47372
7.4,37,36.5545,0,50,4.48216
7.6,38,37.4515,0,50,4.4872
7.8,39,38.3492,0,50,4.48964
8,40,39.2472,0,50,4.49051
