index,ref,optimized_ref
0,0,2.18702e-08
1,3,1.40267
2,6,2.82133
3,9,4.272
4,12,5.77067
5,15,7.33334
6,18,8.97334
7,21,10.693
8,24,12.4886
9,27,14.3477
10,30,16.2559
11,33,18.1992
12,36,20.1643
13,39,22.138
14,42,24.1077
15,45,26.0616
16,48,27.9882
17,51,29.8765
18,54,31.7164
19,57,33.4983
20,60,35.2134
21,63,36.8535
22,66,38.4112
23,69,39.8802
24,72,41.2546
25,75,42.5297
26,78,43.7018
27,81,44.7682
28,84,45.727
29,87,46.5779
30,90,47.3213
31,93,47.9594
32,96,48.4953
33,99,48.9337
34,102,49.2808
35,105,49.5444
36,108,49.7338
37,111,49.8602
38,114,49.9365
39,117,49.978
40,120,49.9998
