0  0
0.5  0.1875
1  0.375
1.5  0.5625
2  0.75
2.5  0.9375
3  1.125
3.5  1.3125
4  1.5
4.5  1.6875
5  1.875
5.5  2.0625
6  2.25
6.5  2.4327
7  2.60136
7.5  2.74716
8  2.8629
8.5  2.93907
9  3
0  0
0.5  0.125
1  0.25
1.5  0.375
2  0.5
2.5  0.625
3  0.75
3.5  0.875
4  1
4.5  1.125
5  1.25
5.5  1.375
6  1.5
6.5  1.625
7  1.742
7.5  1.841
8  1.91621
8.5  1.9631
9  2
0  0
0.5  0.0625
1  0.125
1.5  0.1875
2  0.25
2.5  0.3125
3  0.375
3.5  0.4375
4  0.5
4.5  0.5625
5  0.625
5.5  0.6875
6  0.75
6.5  0.8125
7  0.875
7.5  0.9375
8  0.975
8.5  0.99
9  1
0  0
0.5  0
1  0
1.5  0
2  0
2.5  0
3  0
3.5  0
4  0
4.5  0
5  0
5.5  0
6  0
6.5  0
7  0
7.5  0
8  0
8.5  0
9  0
0  0
0.5  -0.0625
1  -0.125
1.5  -0.1875
2  -0.25
2.5  -0.3125
3  -0.375
3.5  -0.4375
4  -0.5
4.5  -0.5625
5  -0.625
5.5  -0.6875
6  -0.75
6.5  -0.8125
7  -0.875
7.5  -0.9375
8  -0.975
8.5  -0.99
9  -1
0  0
0.5  -0.125
1  -0.25
1.5  -0.375
2  -0.5
2.5  -0.625
3  -0.75
3.5  -0.875
4  -1
4.5  -1.125
5  -1.25
5.5  -1.375
6  -1.5
6.5  -1.625
7  -1.742
7.5  -1.841
8  -1.91621
8.5  -1.9631
9  -2
0  0
0.5  -0.1875
1  -0.375
1.5  -0.5625
2  -0.75
2.5  -0.9375
3  -1.125
3.5  -1.3125
4  -1.5
4.5  -1.6875
5  -1.875
5.5  -2.0625
6  -2.25
6.5  -2.4327
7  -2.60136
7.5  -2.74716
8  -2.8629
8.5  -2.93907
9  -3
